village,VillageHH,traptype,trap,date,month,year,HH,IN.OUT,start,end,Agml,Agfed,Agunf,Aggrv,Afml,Affed,Affunf,Afgrv,Acml,Acfem,OthAn,Notes,MeanTemp,MeanHum,MaxTemp,MaxHum,MinTemp,MinHum
SAG,SAG1,CDC,CDC 1:1,07/06/2016,JUN,2016,1,IN,18:00,06:00,0,0,4,0,18,13,29,13,0,0,0,COW,25.45338333,100,26.9222,100,24.1122,100
SAG,SAG2,CDC,CDC 1:2,07/06/2016,JUN,2016,2,IN,18:00,06:00,0,1,2,0,1,1,70,1,0,0,0,COW,25.51538333,73.64875,26.9222,74.023,24.198,73.181
SAG,SAG3,CDC,CDC 1:3,07/06/2016,JUN,2016,3,IN,18:00,06:00,0,1,63,0,0,1,25,0,0,2,0,,25.5366,73.59625,26.8424,74.649,24.1573,72.968
SAG,SAG4,CDC,CDC 1:4,07/06/2016,JUN,2016,4,IN,18:00,06:00,0,0,11,0,0,1,4,0,0,2,0,,25.59875833,73.34608333,26.8291,74.197,24.2359,72.787
SAG,SAG1,CDC,CDC 1:5,08/06/2016,JUN,2016,1,IN,18:00,06:00,2,1,28,0,6,3,22,4,0,0,0,COW,25.10336667,100,27.2301,100,23.3455,100
SAG,SAG2,CDC,CDC 1:6,08/06/2016,JUN,2016,2,IN,18:00,06:00,0,0,19,1,9,4,17,9,0,0,0,COW,24.11825833,75.68591667,27.4155,82.443,22.0714,67.228
SAG,SAG3,CDC,CDC 1:7,08/06/2016,JUN,2016,3,IN,18:00,06:00,1,2,48,1,0,1,12,3,0,0,0,,24.37876667,77.80191667,26.8025,81.389,23.476,67.83
SAG,SAG4,CDC,CDC 1:8,08/06/2016,JUN,2016,4,IN,18:00,06:00,4,0,15,0,0,0,9,1,0,0,0,,24.3822,77.05441667,27.5194,81.384,22.8951,64.504
SAG,SAG1,CDC,CDC 1:9,09/06/2016,JUN,2016,1,IN,18:00,06:00,0,0,4,1,0,1,14,0,0,0,0,COW,23.28149167,98.99533333,26.5014,100,20.7592,89.479
SAG,SAG2,CDC,CDC 1:10,09/06/2016,JUN,2016,2,IN,18:00,06:00,0,1,3,0,2,1,38,0,0,0,0,COW,22.67761667,69.66208333,27.6204,77.672,19.3512,54.44
SAG,SAG3,CDC,CDC 1:11,09/06/2016,JUN,2016,3,IN,18:00,06:00,0,1,22,0,3,0,38,1,0,0,0,,22.80004167,73.43533333,24.7401,76.053,21.512,69.993
SAG,SAG4,CDC,CDC 1:12,09/06/2016,JUN,2016,4,IN,18:00,06:00,0,0,10,0,1,1,17,0,0,0,0,,22.97304167,70.66908333,25.8069,76.784,20.3595,62.295
SAG,SAG1,CDC,CDC 1:13,10/06/2016,JUN,2016,1,IN,18:00,06:00,0,0,0,0,0,0,8,0,0,0,0,COW,22.82625833,99.52266667,26.0935,100,20.4529,94.272
SAG,SAG2,CDC,CDC 1:14,10/06/2016,JUN,2016,2,IN,18:00,06:00,1,0,1,0,0,0,65,1,0,0,0,COW,21.45501667,73.67891667,26.4291,82.162,18.5288,62.902
SAG,SAG3,CDC,CDC 1:15,10/06/2016,JUN,2016,3,IN,18:00,06:00,0,0,36,0,0,1,23,2,0,0,0,,21.71780833,74.46008333,23.2614,77.457,20.5348,71.345
SAG,SAG4,CDC,CDC 1:16,10/06/2016,JUN,2016,4,IN,18:00,06:00,1,0,3,0,0,0,28,0,0,0,0,,21.852825,72.48666667,24.3203,78.509,19.8537,66.989
MIN,MIN1,CDC,CDC 1:1,13/06/2016,JUN,2016,1,IN,18:00,06:00,0,0,2,0,0,0,1,0,0,0,0,PIG,25.96464167,100,27.3205,100,25.0058,100
MIN,MIN2,CDC,CDC 1:2,13/06/2016,JUN,2016,2,IN,18:00,06:00,1,0,21,0,2,1,14,0,0,0,0,,26.16864167,66.16891667,27.5907,66.957,25.19,65.065
