"","village","VillageHH","traptype","trap","date","month","year","HH","IN.OUT","start","end","Agfed","Agunf","Aggrv","Affed","Affunf","Afgrv","Notes","MeanTemp","MeanHum"
"1","SAG","SAG1","CDC","CDC 1:1","07/06/2016","JUN",2016,1,"IN","18:00","06:00",0,4,0,13,29,13,"COW",25.45338333,100
"2","SAG","SAG2","CDC","CDC 1:2","07/06/2016","JUN",2016,2,"IN","18:00","06:00",1,2,0,1,70,1,"COW",25.51538333,73.64875
"3","SAG","SAG3","CDC","CDC 1:3","07/06/2016","JUN",2016,3,"IN","18:00","06:00",1,63,0,1,25,0,"",25.5366,73.59625
"4","SAG","SAG4","CDC","CDC 1:4","07/06/2016","JUN",2016,4,"IN","18:00","06:00",0,11,0,1,4,0,"",25.59875833,73.34608333
"5","SAG","SAG1","CDC","CDC 1:5","08/06/2016","JUN",2016,1,"IN","18:00","06:00",1,28,0,3,22,4,"COW",25.10336667,100
"6","SAG","SAG2","CDC","CDC 1:6","08/06/2016","JUN",2016,2,"IN","18:00","06:00",0,19,1,4,17,9,"COW",24.11825833,75.68591667
"7","SAG","SAG3","CDC","CDC 1:7","08/06/2016","JUN",2016,3,"IN","18:00","06:00",2,48,1,1,12,3,"",24.37876667,77.80191667
"8","SAG","SAG4","CDC","CDC 1:8","08/06/2016","JUN",2016,4,"IN","18:00","06:00",0,15,0,0,9,1,"",24.3822,77.05441667
"9","SAG","SAG1","CDC","CDC 1:9","09/06/2016","JUN",2016,1,"IN","18:00","06:00",0,4,1,1,14,0,"COW",23.28149167,98.99533333
"10","SAG","SAG2","CDC","CDC 1:10","09/06/2016","JUN",2016,2,"IN","18:00","06:00",1,3,0,1,38,0,"COW",22.67761667,69.66208333
"11","SAG","SAG3","CDC","CDC 1:11","09/06/2016","JUN",2016,3,"IN","18:00","06:00",1,22,0,0,38,1,"",22.80004167,73.43533333
"12","SAG","SAG4","CDC","CDC 1:12","09/06/2016","JUN",2016,4,"IN","18:00","06:00",0,10,0,1,17,0,"",22.97304167,70.66908333
"13","SAG","SAG1","CDC","CDC 1:13","10/06/2016","JUN",2016,1,"IN","18:00","06:00",0,0,0,0,8,0,"COW",22.82625833,99.52266667
"14","SAG","SAG2","CDC","CDC 1:14","10/06/2016","JUN",2016,2,"IN","18:00","06:00",0,1,0,0,65,1,"COW",21.45501667,73.67891667
"15","SAG","SAG3","CDC","CDC 1:15","10/06/2016","JUN",2016,3,"IN","18:00","06:00",0,36,0,1,23,2,"",21.71780833,74.46008333
"16","SAG","SAG4","CDC","CDC 1:16","10/06/2016","JUN",2016,4,"IN","18:00","06:00",0,3,0,0,28,0,"",21.852825,72.48666667
"17","MIN","MIN1","CDC","CDC 1:1","13/06/2016","JUN",2016,1,"IN","18:00","06:00",0,2,0,0,1,0,"PIG",25.96464167,100
"18","MIN","MIN2","CDC","CDC 1:2","13/06/2016","JUN",2016,2,"IN","18:00","06:00",0,21,0,1,14,0,"",26.16864167,66.16891667
"19","MIN","MIN3","CDC","CDC 1:3","13/06/2016","JUN",2016,3,"IN","18:00","06:00",2,2,0,0,4,0,"COW",25.971425,66.88325
"20","MIN","MIN4","CDC","CDC 1:4","13/06/2016","JUN",2016,4,"IN","18:00","06:00",0,2,0,1,44,0,"",26.06513333,66.96583333
"21","MIN","MIN1","CDC","CDC 1:5","14/06/2016","JUN",2016,1,"IN","18:00","06:00",0,0,0,0,1,0,"PIG",22.48958333,98.87425
"22","MIN","MIN2","CDC","CDC 1:6","14/06/2016","JUN",2016,2,"IN","18:00","06:00",2,24,0,1,24,1,"",22.08785833,72.5055
"23","MIN","MIN3","CDC","CDC 1:7","14/06/2016","JUN",2016,3,"IN","18:00","06:00",1,3,0,0,0,0,"COW",20.78456667,77.84566667
"24","MIN","MIN4","CDC","CDC 1:8","14/06/2016","JUN",2016,4,"IN","18:00","06:00",1,4,0,2,42,0,"",24.00881667,67.17158333
"25","MIN","MIN1","CDC","CDC 1:9","15/06/2016","JUN",2016,1,"IN","18:00","06:00",0,2,1,0,1,0,"PIG",22.89045,100
"26","MIN","MIN2","CDC","CDC 1:10","15/06/2016","JUN",2016,2,"IN","18:00","06:00",0,3,0,0,1,0,"",22.85723333,75.08058333
"27","MIN","MIN3","CDC","CDC 1:11","15/06/2016","JUN",2016,3,"IN","18:00","06:00",0,6,0,0,6,0,"COW",21.73818333,80.18675
"28","MIN","MIN4","CDC","CDC 1:12","15/06/2016","JUN",2016,4,"IN","18:00","06:00",0,8,0,0,33,0,"",24.11924167,72.089
"29","MIN","MIN1","CDC","CDC 1:13","16/06/2016","JUN",2016,1,"IN","18:00","06:00",0,0,1,0,0,1,"PIG",23.13175,99.99691667
"30","MIN","MIN2","CDC","CDC 1:14","16/06/2016","JUN",2016,2,"IN","18:00","06:00",0,0,0,0,0,0,"TRAP STOPPED OVER NIGHT",22.86145,72.19241667
"31","MIN","MIN3","CDC","CDC 1:15","16/06/2016","JUN",2016,3,"IN","18:00","06:00",0,10,0,0,8,1,"COW",21.52193333,79.21066667
"32","MIN","MIN4","CDC","CDC 1:16","16/06/2016","JUN",2016,4,"IN","18:00","06:00",1,11,0,0,37,0,"",24.23055,69.43341667
"33","LUP","LUP1","CDC","CDC 1:1","20/06/2016","JUN",2016,1,"IN","18:00","06:00",1,26,0,0,4,1,"",26.47416667,100
"34","LUP","LUP2","CDC","CDC 1:2","20/06/2016","JUN",2016,2,"IN","18:00","06:00",1,24,0,0,15,0,"",26.65688333,74.37816667
"35","LUP","LUP3","CDC","CDC 1:3","20/06/2016","JUN",2016,3,"IN","18:00","06:00",0,133,0,0,2,0,"GOAT",26.50514167,74.62558333
"36","LUP","LUP4","CDC","CDC 1:4","20/06/2016","JUN",2016,4,"IN","18:00","06:00",0,2,0,0,3,2,"",26.51470833,74.74816667
"37","LUP","LUP1","CDC","CDC 1:5","21/06/2016","JUN",2016,1,"IN","18:00","06:00",0,30,1,0,13,1,"",23.35001917,57.54883333
"38","LUP","LUP2","CDC","CDC 1:6","21/06/2016","JUN",2016,2,"IN","18:00","06:00",1,36,0,1,14,1,"",24.25751667,79.93283333
"39","LUP","LUP3","CDC","CDC 1:7","21/06/2016","JUN",2016,3,"IN","18:00","06:00",1,185,0,0,14,1,"GOAT",24.06683333,81.16408333
"40","LUP","LUP4","CDC","CDC 1:8","21/06/2016","JUN",2016,4,"IN","18:00","06:00",0,6,0,0,11,0,"TRAP STOPPED OVER NIGHT",25.38181667,75.805
"41","LUP","LUP1","CDC","CDC 1:9","22/06/2016","JUN",2016,1,"IN","18:00","06:00",2,51,0,0,5,0,"",23.0261275,59.21683333
"42","LUP","LUP2","CDC","CDC 1:10","22/06/2016","JUN",2016,2,"IN","18:00","06:00",0,24,0,0,12,0,"",23.61885,80.75908333
"43","LUP","LUP3","CDC","CDC 1:11","22/06/2016","JUN",2016,3,"IN","18:00","06:00",2,206,1,0,26,1,"GOAT",23.24305833,83.05566667
"44","LUP","LUP4","CDC","CDC 1:12","22/06/2016","JUN",2016,4,"IN","18:00","06:00",0,6,0,0,6,0,"",24.597325,77.982
"45","LUP","LUP1","CDC","CDC 1:13","23/06/2016","JUN",2016,1,"IN","18:00","06:00",0,20,0,0,5,0,"",22.05301,27.53375
"46","LUP","LUP2","CDC","CDC 1:14","23/06/2016","JUN",2016,2,"IN","18:00","06:00",0,24,0,0,13,0,"",22.97860833,77.62958333
"47","LUP","LUP3","CDC","CDC 1:15","23/06/2016","JUN",2016,3,"IN","18:00","06:00",4,94,1,1,27,1,"GOAT",22.222825,80.15608333
"48","LUP","LUP4","CDC","CDC 1:16","23/06/2016","JUN",2016,4,"IN","18:00","06:00",0,19,0,0,0,1,"",24.00283333,74.16233333
"49","KID","KID1","CDC","CDC 1:1","27/06/2016","JUN",2016,1,"IN","18:00","06:00",0,0,0,0,11,0,"COW",26.26848333,0
"50","KID","KID2","CDC","CDC 1:2","27/06/2016","JUN",2016,2,"IN","18:00","06:00",0,0,0,0,4,0,"COW",26.28020833,71.57558333
"51","KID","KID3","CDC","CDC 1:3","27/06/2016","JUN",2016,3,"IN","18:00","06:00",0,1,0,0,16,0,"",26.284325,71.36783333
"52","KID","KID4","CDC","CDC 1:4","27/06/2016","JUN",2016,4,"IN","18:00","06:00",0,3,0,2,19,0,"",26.18014167,72.07316667
"53","KID","KID1","CDC","CDC 1:5","28/06/2016","JUN",2016,1,"IN","18:00","06:00",0,1,0,0,8,0,"COW",23.02854917,8.333333333
"54","KID","KID2","CDC","CDC 1:6","28/06/2016","JUN",2016,2,"IN","18:00","06:00",0,3,0,4,33,0,"COW",22.15055,76.61025
"55","KID","KID3","CDC","CDC 1:7","28/06/2016","JUN",2016,3,"IN","18:00","06:00",0,1,0,0,36,0,"",23.13436667,74.60958333
"56","KID","KID4","CDC","CDC 1:8","28/06/2016","JUN",2016,4,"IN","18:00","06:00",0,3,1,2,15,0,"",23.32494167,73.20191667
"57","KID","KID1","CDC","CDC 1:9","29/06/2016","JUN",2016,1,"IN","18:00","06:00",0,1,0,0,21,0,"COW",23.95649083,16.66666667
"58","KID","KID2","CDC","CDC 1:10","29/06/2016","JUN",2016,2,"IN","18:00","06:00",0,2,0,3,24,0,"COW",23.46899167,75.00433333
"59","KID","KID3","CDC","CDC 1:11","29/06/2016","JUN",2016,3,"IN","18:00","06:00",0,3,0,0,36,3,"",23.84008333,75.68733333
"60","KID","KID4","CDC","CDC 1:12","29/06/2016","JUN",2016,4,"IN","18:00","06:00",0,1,0,0,20,0,"",24.03406667,74.09575
"61","KID","KID1","CDC","CDC 1:13","30/06/2016","JUN",2016,1,"IN","18:00","06:00",0,0,0,1,10,0,"COW",23.10457583,25
"62","KID","KID2","CDC","CDC 1:14","30/06/2016","JUN",2016,2,"IN","18:00","06:00",2,2,0,2,43,0,"COW",22.65218333,73.95241667
"63","KID","KID3","CDC","CDC 1:15","30/06/2016","JUN",2016,3,"IN","18:00","06:00",0,0,0,0,14,0,"",23.48616667,73.88816667
"64","KID","KID4","CDC","CDC 1:16","30/06/2016","JUN",2016,4,"IN","18:00","06:00",0,3,0,1,39,5,"",23.7785,71.38316667
